,Ticker,Exchange,Name,Clean_Name
0,NESN,SIX , Nestle Ag, Nestle
1,NOVN,SIX , Novartis Ag, Novartis
2,HSBA,LDN , HSBC Holdings PLC, Hsbc Holdings
3,ROG,SIX , Roche Holding Ag, Roche Holding
4,MC,ENXP , LVMH Moet Hennessy - Louis Vuitton SE, Lvmh Moet Hennessy - Louis Vuitton
5,BP/,LDN , BP PLC, Bp
6,OR,ENXP , L'Oreal, L'Oreal
7,RDSA,ENXA , Royal Dutch Shell, Royal Dutch Shell
8,ABI,ENXB , Anheuser-Busch Inbev Sa, Anheuser-Busch Inbev
9,SAN,ENXP , Sanofi, Sanofi
10,AZN,LDN , Astrazeneca PLC, Astrazeneca
11,GSK,LDN , Glaxosmithkline PLC, Glaxosmithkline
12,ITX,ESP , Inditex SA, Inditex
13,DGE,LDN , Diageo PLC, Diageo
14,NOVOB,OMXC , Novo Nordisk A/S, Novo Nordisk
15,BATS,LDN , British American Tobacco PLC, British American Tobacco
16,SAN,ESP , Banco Santander SA, Banco Santander
17,AIR,ENXP , Airbus SE, Airbus
18,EQNR,OSLO , Equinor ASA, Equinor
19,ULVR,LDN , Unilever PLC, Unilever
20,VOD,LDN , Vodafone Group PLC, Vodafone Group
21,ASML,ENXA , ASML Holding Nv, Asml Holding
22,CDI,ENXP , Christian Dior SA, Christian Dior
23,BNP,ENXP , BNP Paribas, BNP Paribas
24,RIO,LDN , Rio Tinto PLC, Rio Tinto
25,RB/,LDN , Reckitt Benckiser Group PLC, Reckitt Benckiser Group
26,ENI,MIL , Eni, Eni
27,RMS,ENXP , Hermes International, Hermes International
28,ENEL,MIL , Enel SPA, Enel SPA
29,KER,ENXP , Kering, Kering
30,CS,ENXP , AXA, AXA
31,LLOY,LDN , Lloyds Banking Group PLC, Lloyds Banking Group
32,GLEN,LDN , Glencore PLC, Glencore
33,UBSG,SIX , UBS Group, UBS Group
34,AI,ENXP , Air Liquide, Air Liquide
35,BSN,ENXP , Danone, Danone
36,EI,ENXP , EssilorLuxottica SA, Essilorluxottica
37,HEIA,ENXA , Heineken NV, Heineken
38,PRU,LDN , Prudential PLC, Prudential
39,INGA,ENXA , Ing Groep, Ing Groep
40,SAF,ENXP , Safran SA, Safran
41,EDF,ENXP , Electricite De France, Electricite De France
42,DG,ENXP , Vinci SA, Vinci
43,BHP,LDN , BHP Group PLC, Bhp Group
44,IBE,ESP , Iberdrola SA, Iberdrola
45,REL,LDN , Relx PLC, Relx
46,BARC,LDN , Barclays PLC, Barclays
47,TEF,ESP , Telefonica SA, Telefonica
48,ZURN,SIX , Zurich Insurance Group AG, Zurich Insurance Group
49,ISP,MIL , Intesa Sanpaolo, Intesa Sanpaolo
50,ORA,ENXP , Orange SA, Orange
51,RI,ENXP , Pernod-Ricard, Pernod-Ricard
52,SU,ENXP , Schneider Electric SE, Schneider Electric
53,ABBN,SIX , ABB Ltd, Abb
54,BT/A,LDN , BT Group PLC, Bt Group
55,CPG,LDN , Compass Group PLC, Compass Group
56,BBVA,ESP , Banco Bilbao Vizcaya Argentaria Sa, Banco Bilbao Vizcaya Argentaria
57,ACA,ENXP , Credit Agricole Sa, Credit Agricole
58,TSCO,LDN , Tesco PLC, Tesco
59,NG/,LDN , National Grid PLC, National Grid
60,CFR,SIX , Richemont N Sa, Richemont N
61,ENGI,ENXP , Engie, Engie
62,IMB,LDN , Imperial Brands PLC, Imperial Brands
63,PHIA,ENXA , Koninklijke Philips Electronics NA, Koninklijke Philips Electronics
64,GLE,ENXP , Societe Generale SA, Societe Generale
65,UCG,MIL , Unicredit, Unicredit
66,AAL,LDN , Anglo American PLC, Anglo American
67,CSGN,SIX , Credit Suisse Group AG, Credit Suisse Group
68,NOKIA,HELS , Nokia Oyj, Nokia
69,KBC,ENXB , KBC Groep NV, Kbc Groep
70,VIV,ENXP , Vivendi, Vivendi
71,DSY,ENXP , Dassault Systemes SE, Dassault Systemes
72,FCA,MIL , Fiat Chrysler Automobiles, Fiat Chrysler Automobiles
73,AD,ENXA , Koninklijke Ahold Delhaize NV, Koninklijke Ahold Delhaize
74,STAN,LDN , Standard Chartered PLC, Standard Chartered
75,SREN,SIX , Swiss Re AG, Swiss Re
76,DNB,OSLO , DNB ASA, Dnb
77,AMS,ESP , Amadeus It Group, Amadeus It Group
78,G,MIL , Assicurazioni Generali, Assicurazioni Generali
79,ABF,LDN , Associated British Foods PLC, Associated British Foods
80,ERICB,OMX , Telefonaktiebolaget Lm Ericsson, Telefonaktiebolaget Lm Ericsson
81,EXPN,LDN , Experian PLC, Experian
82,TEL,OSLO , Telenor Asa, Telenor
83,HMB,OMX , H&M Hennes & Mauritz AB, H&M Hennes & Mauritz
84,DENERG,OMXC , Orsted A/S, Orsted
85,SWEDA,OMX , Swedbank AB, Swedbank
86,ABN,ENXA , Abn Amro Bank NV, Abn Amro Bank
87,LHN,SIX , LafargeHolcim Ltd, Lafargeholcim
88,REP,ESP , Repsol YPF SA, Repsol Ypf
89,SEBA,OMX , SEB SA, Seb
90,CSF,ENXP , Thales SA, Thales
91,MT,ENXA , Arcelormittal, Arcelormittal
92,BA/,LDN , Bae Systems PLC, Bae Systems
93,ELE,ESP , Endesa SA, Endesa
94,KNEBV,HELS , Kone OYJ, Kone
95,RR/,LDN , Rolls-Royce Holdings Plc, Rolls-Royce Holdings
96,URW,ENXA , Unibail-Rodamco, Unibail-Rodamco
97,AENA,ESP , Aena Sme SA, Aena Sme
98,ATCOA,OMX , Atlas Copco AB, Atlas Copco
